"REG_ID","Region","ORIGIN","Place of birth","VAR","Indicator","TIME","Year","Value","Flag Codes","Flags"
"DE5","Bremen ","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",20.7,,
"DE5","Bremen ","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",19.5,,
"DE5","Bremen ","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",9.9,,
"DE6","Hamburg","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",19.6,,
"DE6","Hamburg","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",23.1,,
"DE6","Hamburg","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",7.9,,
"DE7","Hesse","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",19.8,,
"DE7","Hesse","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",22.8,,
"DE7","Hesse","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",6.4,,
"DE8","Mecklenburg-Vorpommern","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",8.4,,
"DE8","Mecklenburg-Vorpommern","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",25.2,,
"DE9","Lower Saxony ","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",14,,
"DE9","Lower Saxony ","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",17.9,,
"DE9","Lower Saxony ","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",7.3,,
"DEA","North Rhine-Westphalia","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",16.7,,
"DEA","North Rhine-Westphalia","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",17.3,,
"DEA","North Rhine-Westphalia","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",9.1,,
"NLD","Netherlands","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",21.4,,
"NLD","Netherlands","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",12.7,,
"NL11","Groningen","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",25.1,,
"NL11","Groningen","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",14.8,,
"NL12","Friesland","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",15.7,,
"NL12","Friesland","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",13.7,,
"NL13","Drenthe","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",18.7,,
"NL13","Drenthe","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",21.5,,
"NL21","Overijssel","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",20.6,,
"NL21","Overijssel","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",12.8,,
"NL22","Gelderland","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",26.1,,
"NL22","Gelderland","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",12.1,,
"NL23","Flevoland","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",23.2,,
"NL23","Flevoland","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",12.9,,
"NL31","Utrecht","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",30.9,,
"NL31","Utrecht","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",11.3,,
"NL32","North Holland","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",30.1,,
"NL32","North Holland","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",10,,
"NL33","South Holland","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",24.8,,
"NL33","South Holland","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",14.9,,
"NL34","Zeeland","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",17.1,,
"NL41","North Brabant","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",22.5,,
"NL41","North Brabant","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",11.8,,
"NL42","Limburg","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",18.4,,
"NL42","Limburg","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",11.6,,
"AUT","Austria","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",16.5,,
"AUT","Austria","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",7.5,,
"AUT","Austria","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",9,,
"AUT","Austria","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",25.8,,
"AUT","Austria","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",10.1,,
"AT11","Burgenland","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",20.9,,
"AT11","Burgenland","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",8.7,,
"AT11","Burgenland","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",12.2,,
"AT11","Burgenland","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",29.3,,
"AT12","Lower Austria","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",20.9,,
"AT12","Lower Austria","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",8.7,,
"AT12","Lower Austria","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",12.2,,
"AT12","Lower Austria","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",26.6,,
"AT12","Lower Austria","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",10.2,,
"AT13","Vienna","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",20.9,,
"AT13","Vienna","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",8.7,,
"AT13","Vienna","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",12.2,,
"AT13","Vienna","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",32.7,,
"AT13","Vienna","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",13.5,,
"AT21","Carinthia","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",10.1,,
"AT21","Carinthia","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",5.4,,
"AT21","Carinthia","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",4.7,,
"AT21","Carinthia","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",23.8,,
"AT21","Carinthia","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",10.8,,
"AT22","Styria","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",10.1,,
"AT22","Styria","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",5.4,,
"AT22","Styria","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",4.7,,
"AT22","Styria","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",24.5,,
"AT22","Styria","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",11.2,,
"AT31","Upper Austria","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",14.9,,
"AT31","Upper Austria","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",7.2,,
"AT31","Upper Austria","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",7.7,,
"AT31","Upper Austria","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",19.7,,
"AT31","Upper Austria","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",8,,
"AT32","Salzburg","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",14.9,,
"AT32","Salzburg","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",7.2,,
"AT32","Salzburg","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",7.7,,
"AT32","Salzburg","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",24.6,,
"AT32","Salzburg","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",6.6,,
"AT33","Tyrol","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",14.9,,
"AT33","Tyrol","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",7.2,,
"AT33","Tyrol","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",7.7,,
"AT33","Tyrol","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",24.9,,
"AT33","Tyrol","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",5.6,,
"AT34","Vorarlberg","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",14.9,,
"AT34","Vorarlberg","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",7.2,,
"AT34","Vorarlberg","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",7.7,,
"AT34","Vorarlberg","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",19.7,,
"BEL","Belgium","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",14.5,,
"BEL","Belgium","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",6.8,,
"BEL","Belgium","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",7.8,,
"BEL","Belgium","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",28.4,,
"BEL","Belgium","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",15.6,,
"BE1","Brussels Capital Region","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",43,,
"BE1","Brussels Capital Region","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",17.3,,
